,seed_term,related_terms,source,decade
337,duurzaam,waarborgen,parool,1980
338,duurzaam,consensus,parool,1980
339,extractie,,parool,1980
340,winning,gaswinning,parool,1980
341,winning,oliewinning,parool,1980
342,winning,steenkool,parool,1980
343,winning,aardolie,parool,1980
344,winning,raffinaderijen,parool,1980
345,winning,raffinage,parool,1980
346,winning,gasvelden,parool,1980
347,winning,pijpleidingen,parool,1980
348,winning,kolen,parool,1980
349,winning,grondstoffen,parool,1980
350,exploratie,nitraten,parool,1980
351,exploratie,antarctische,parool,1980
352,exploratie,fossiele,parool,1980
353,exploratie,energiewinning,parool,1980
354,exploratie,mangaan,parool,1980
355,exploratie,recycling,parool,1980
356,exploratie,koelvloeistof,parool,1980
357,exploratie,kooldioxide,parool,1980
358,exploratie,elektriciteitsmaatschappijen,parool,1980
359,exploratie,ontginning,parool,1980
360,concessie,concessies,parool,1980
361,concessie,toezeggingen,parool,1980
362,concessie,onderhandelingspositie,parool,1980
363,concessie,toezegging,parool,1980
364,concessie,afziet,parool,1980
365,concessie,regering,parool,1980
366,concessie,soevereiniteit,parool,1980
367,concessie,onderhandelen,parool,1980
368,concessie,vredesbesprekingen,parool,1980
369,concessie,kernmacht,parool,1980
370,Energievoorziening,,parool,1980
371,energiewinning,toelevering,parool,1980
372,energiewinning,meststoffen,parool,1980
373,energiewinning,petrochemische,parool,1980
374,energiewinning,voedingsmiddelenindustrie,parool,1980
375,energiewinning,recycling,parool,1980
376,energiewinning,computerbranche,parool,1980
377,energiewinning,nitraten,parool,1980
378,energiewinning,havenschap,parool,1980
379,energiewinning,afvalstromen,parool,1980
380,energiewinning,verwerkingsbedrijf,parool,1980
381,energiebehoefte,energieverbruik,parool,1980
382,energiebehoefte,gasvoorraad,parool,1980
383,energiebehoefte,investeringsbedrag,parool,1980
384,energiebehoefte,melkveehouders,parool,1980
385,energiebehoefte,raamt,parool,1980
386,energiebehoefte,elektriciteitsverbruik,parool,1980
387,energiebehoefte,vermeerdering,parool,1980
388,energiebehoefte,groeipercentage,parool,1980
389,energiebehoefte,bouwtijd,parool,1980
390,energiebehoefte,elektriciteitsopwekking,parool,1980
391,elektriciteitsopwekking,gasvoorraad,parool,1980
392,elektriciteitsopwekking,kolengestookte,parool,1980
393,elektriciteitsopwekking,kolencentrales,parool,1980
394,elektriciteitsopwekking,opwekking,parool,1980
395,elektriciteitsopwekking,energieprijs,parool,1980
396,elektriciteitsopwekking,airbussen,parool,1980
397,elektriciteitsopwekking,waterstofgas,parool,1980
398,elektriciteitsopwekking,nitraten,parool,1980
399,elektriciteitsopwekking,bruinkool,parool,1980
400,elektriciteitsopwekking,uitspoeling,parool,1980
401,energieleverancier,,parool,1980
402,energievraagstuk,institutioneel,parool,1980
403,energievraagstuk,zelfhulpgroepen,parool,1980
404,energievraagstuk,gezondheidsleer,parool,1980
405,energievraagstuk,vuilafvoer,parool,1980
406,energievraagstuk,stadsplanning,parool,1980
407,energievraagstuk,caissons,parool,1980
408,energievraagstuk,taxa,parool,1980
409,energievraagstuk,correctieve,parool,1980
410,energievraagstuk,milieubehoud,parool,1980
411,energievraagstuk,uitbuitende,parool,1980
412,conventionele energie,,parool,1980
413,conventioneel vermogen,,parool,1980
414,kolencrisis,,parool,1980
415,kolenindustrie,,parool,1980
416,kolenwinning,,parool,1980
417,zwarte goud,,parool,1980
418,slurrie,,parool,1980
419,bruinkool,methaangas,parool,1980
420,bruinkool,zonnecollectoren,parool,1980
421,bruinkool,gestookte,parool,1980
422,bruinkool,kolengestookte,parool,1980
423,bruinkool,nitraten,parool,1980
424,bruinkool,gasvormige,parool,1980
425,bruinkool,waterstofgas,parool,1980
426,bruinkool,meststoffen,parool,1980
427,bruinkool,veevoeder,parool,1980
428,bruinkool,opperhuid,parool,1980
429,stookolie,gasolie,parool,1980
430,stookolie,huisbrandolie,parool,1980
431,stookolie,grootverbruikers,parool,1980
432,stookolie,dieselolie,parool,1980
433,stookolie,kleinverbruikers,parool,1980
434,stookolie,brandstoffen,parool,1980
435,stookolie,nafta,parool,1980
436,stookolie,gasprijs,parool,1980
437,stookolie,accijnzen,parool,1980
438,stookolie,aardgas,parool,1980
439,minerale oliën,,parool,1980
440,petroleum,gasolie,parool,1980
441,petroleum,dieselolie,parool,1980
442,petroleum,oliemaatschappij,parool,1980
443,petroleum,staatsoliemaatschappij,parool,1980
444,petroleum,pompstations,parool,1980
445,petroleum,olieconcern,parool,1980
446,petroleum,moedermaatschappij,parool,1980
447,petroleum,dochteronderneming,parool,1980
448,petroleum,raffinage,parool,1980
449,petroleum,oliemaatschappijen,parool,1980
450,diesel,turbodiesel,parool,1980
451,diesel,dieselmotor,parool,1980
452,diesel,benzinemotor,parool,1980
453,diesel,diesels,parool,1980
454,diesel,vierpitter,parool,1980
455,diesel,zescilinder,parool,1980
456,diesel,oliestoker,parool,1980
457,diesel,driedeurs,parool,1980
458,diesel,turbo,parool,1980
459,diesel,dieselolie,parool,1980
460,paraffine,kwarts,parool,1980
461,paraffine,geteeld,parool,1980
462,paraffine,hars,parool,1980
463,paraffine,drab,parool,1980
464,paraffine,olievat,parool,1980
465,paraffine,kruidnagel,parool,1980
466,paraffine,voorsteven,parool,1980
467,paraffine,ijsco,parool,1980
468,paraffine,agave,parool,1980
469,paraffine,onedel,parool,1980
470,vaseline,schouderbandjes,parool,1980
471,vaseline,schaartjes,parool,1980
472,vaseline,julienne,parool,1980
473,vaseline,olievat,parool,1980
474,vaseline,goudkarper,parool,1980
475,vaseline,patrijspoort,parool,1980
476,vaseline,boomschors,parool,1980
477,vaseline,kruidnagel,parool,1980
478,vaseline,tweepits,parool,1980
479,vaseline,tweecomponentenlijm,parool,1980
480,aardgas,steenkool,parool,1980
481,aardgas,kolen,parool,1980
482,aardgas,brandstoffen,parool,1980
483,aardgas,prijsverlaging,parool,1980
484,aardgas,huisbrandolie,parool,1980
485,aardgas,wereldmarkt,parool,1980
486,aardgas,kleinverbruikers,parool,1980
487,aardgas,olielanden,parool,1980
488,aardgas,grondstoffen,parool,1980
489,aardgas,stookolie,parool,1980
490,gasbuis,,parool,1980
491,aardgasnet,,parool,1980
492,Atoomkracht,,parool,1980
493,Atoomcentrale,,parool,1980
